Symbol,Company_Name,LTP,Marketcap,Nepse_Weight
EBL,Everest Bank Limited,706.0,96872911883.7,2.04 %
EDBL,Excel Development Bank Ltd.,612.0,7648130377.06,0.16 %
EHPL,Eastern Hydropower Limited,431.5,2675300000.0,0.06 %
ENL,Emerging Nepal Limited,950.0,5278200760.0,0.11 %
FMDBL,First Micro Finance Development Bank Ltd.,830.0,11162431988.73,0.24 %
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,1094.0,13083733598.85,0.28 %
GBBL,Garima Bikas Bank Limited,420.5,25319769898.13,0.53 %
GBIME,Global IME Bank Limited,244.3,93117028837.47,1.96 %
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,804.0,8083014000.0,0.17 %
GCIL,Ghorahi Cement Industry Limited,448.0,22509555080.32,0.47 %
GFCL,Goodwill Finance Co. Ltd.,682.3,6455344009.6,0.14 %
GHL,Ghalemdi Hydro Limited,273.0,4504500000.0,0.09 %
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1200.0,7779573550.26,0.16 %
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,1975.0,2614071487.5,0.06 %
GLH,GREENLIFE HYDROPOWER LIMITED,293.8,5288400000.0,0.11 %
GMFBS,Ganapati Microfinance Bittiya Sanstha Limited,1455.5,2205876220.54,0.05 %
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,489.0,4949540640.0,0.10 %
GMLI,Guardian Micro Life Insurance Limited,1757.2,13179000000.0,0.28 %
GRDBL,Green Development Bank Ltd.,1068.3,6575386465.94,0.14 %
GUFL,Gurkhas Finance Ltd.,580.0,5034364040.0,0.11 %
GVL,Green Ventures Limited,514.9,17699687500.0,0.37 %
HATHY,Hathway Investment Nepal Limited,950.0,30126096000.0,0.63 %
HBL,Himalayan Bank Limited,216.3,48844136052.39,1.03 %
HDHPC,Himal Dolakha Hydropower Company Limited,240.0,6720000000.0,0.14 %
HDL,Himalayan Distillery Limited,1200.0,44256986351.42,0.93 %
HEI,Himalayan Everest Insurance Limited,534.1,13353342601.96,0.28 %
HEIP,Himalayan Everest Insurance Limited (Promoter),323.0,864039212.0,0.02 %
